mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,spectral_centroid,zero_crossing_rate,Person,Language,Augmentation
-1.0,0.20902734994888306,-0.050143346190452576,0.10698073357343674,-0.058943506330251694,0.07438845187425613,-0.04385999217629433,0.03584272041916847,-0.02771194465458393,0.010939323343336582,-0.04334559664130211,-0.012665017507970333,-0.0064968387596309185,-0.017324665561318398,-0.01218381430953741,-0.01933986507356167,-0.0038299085572361946,1.2364395063357847e-09,-0.00011395527690183371,-0.0006280457018874586,-8.113716467050835e-05,0.00020753592252731323,-0.0003242234524805099,-0.00024449388729408383,-0.0002679591707419604,-0.0002558259293437004,-5.8481724408920854e-05,-6.356488302117214e-05,-0.00012222198711242527,0.0001414137805113569,-0.00010086470865644515,-0.00012644557864405215,3.445968104642816e-05,7.340742740780115e-05,0.5436810851097107,0.4066588282585144,0.4183494448661804,0.40507838129997253,0.29881739616394043,0.2740069627761841,0.4325982928276062,0.6196350455284119,0.6065388321876526,0.5799576640129089,0.5188136100769043,0.5159438848495483,24.335419867513483,14.27839452344608,16.444198502629078,15.972724047357296,17.495930047406777,17.4016897836342,64.75751861596603,2697.878325408212,0.16136030717329544,MariamB,German,original
-1.0,0.20781363546848297,-0.057359445840120316,0.10969933867454529,-0.0562015138566494,0.06488822400569916,-0.02482556737959385,0.018708912655711174,-0.0016681086272001266,0.004303319379687309,-0.0025896772276610136,-0.04089534655213356,0.0037680836394429207,-0.021397734060883522,-0.00025046346127055585,-0.02280338481068611,0.001225961372256279,1.2364395063357847e-09,-0.0002696975425351411,-0.0004502521187532693,-0.00033671967685222626,0.0003249259025324136,-0.0002724475343711674,-0.0001798417797544971,-0.00026876290212385356,-0.00029714356060139835,-0.00020528271852526814,-7.948311395011842e-05,-0.00016892286657821387,-2.10425987461349e-05,0.00012371419870760292,-0.00016046781092882156,-3.707519135787152e-05,1.176422847493086e-05,0.438890278339386,0.34263861179351807,0.24363945424556732,0.3288472890853882,0.5692803859710693,0.6120595932006836,0.5937879085540771,0.5559101104736328,0.5402044653892517,0.5042307376861572,0.4399566352367401,0.40749436616897583,24.080431614776344,15.22856137985646,16.75476919260738,16.398699388944664,17.650244127946586,17.491636690783285,68.34994055073699,2396.829466989557,0.14232011274857956,MariamB,German,pitch_shift
-1.0,0.19074001908302307,-0.05006744712591171,0.10326585918664932,-0.06094422563910484,0.07554508745670319,-0.04824063926935196,0.04080701619386673,-0.029031841084361076,0.0182210560888052,-0.04329674318432808,-0.00784860085695982,-0.005755222402513027,-0.012006625533103943,-0.012169897556304932,-0.01710304245352745,-0.003852957859635353,1.3686375366361858e-09,-0.0003935569548048079,-0.0006405767635442317,-0.0002807097043842077,0.00022828986402601004,-0.0003595910966396332,-0.00021596899023279548,-0.00031835856498219073,-0.00019507251272443682,-8.302654168801382e-05,-9.71949361883162e-07,-0.00017205618496518582,0.00021697254851460457,-4.8806632548803464e-05,-0.00010972844756906852,2.3850972866057418e-05,3.983066198998131e-05,0.45936307311058044,0.35290488600730896,0.38638824224472046,0.34042730927467346,0.26413410902023315,0.26257437467575073,0.4617988169193268,0.6385899782180786,0.6155111193656921,0.5731165409088135,0.4958210587501526,0.4916077256202698,25.38765170581458,14.962144247993342,16.851308597294267,16.49831440794555,17.519843479745035,17.568735572206435,64.68006649193352,2714.422836676762,0.15934244791666666,MariamB,German,time_stretch
-1.0,0.2123267501592636,-0.06214430183172226,0.11703243106603622,-0.06055630370974541,0.07103899121284485,-0.0293442290276289,0.024184925481677055,-0.004884808789938688,0.008703282102942467,-0.006624362897127867,-0.03792328014969826,0.007886979728937149,-0.020046235993504524,0.0010173561749979854,-0.024582846090197563,0.004899740219116211,1.2364395063357847e-09,-0.00028029532404616475,-0.0003935572749469429,-0.0002555948740337044,0.0003522238985169679,-0.0002799663052428514,-0.0002015514182858169,-0.00031196020427159965,-0.00025213509798049927,-0.00013857580779585987,-3.358763933647424e-05,-0.0001357433502562344,-1.8902472220361233e-05,3.574608490453102e-05,-0.00017711440159473568,-3.515946082188748e-05,0.00010940831271000206,0.3867105543613434,0.3945452570915222,0.29321882128715515,0.2601202130317688,0.3979147970676422,0.5765081644058228,0.5851786136627197,0.6060231328010559,0.5414165258407593,0.503537654876709,0.47715428471565247,0.40784013271331787,24.66260473692364,14.896996673158567,16.34929465976559,16.443210342568467,17.916663658431432,17.46518394558889,69.0719268514109,2430.5966705231695,0.14775779030539773,MariamB,German,pitch_shift
-1.0,0.29321861267089844,-0.09106947481632233,0.0629512295126915,-0.09073073416948318,0.01774250902235508,-0.04362839460372925,-0.004440722055733204,-0.054149772971868515,-0.04131324961781502,-0.03159637004137039,-0.026716992259025574,-0.031396083533763885,-0.018951084464788437,-0.03454071655869484,-0.03214482218027115,-0.011662960052490234,1.648586045455147e-09,-0.00019886228255927563,0.0004482245713006705,-0.0008832391467876732,5.237910590949468e-05,1.2099291780032218e-05,0.00031505795777775347,9.012937516672537e-05,-9.632014553062618e-05,-0.0001095675615943037,-5.540034544537775e-05,-0.00033994659315794706,5.7522996939951554e-05,-0.00019582363893277943,-0.00011401760275475681,-0.00014785153325647116,-0.00021056528203189373,0.44872087240219116,0.32743677496910095,0.2673691511154175,0.26301446557044983,0.364682674407959,0.2467006891965866,0.2371278554201126,0.23295199871063232,0.22688980400562286,0.298132061958313,0.32189130783081055,0.4652438759803772,20.884074104362327,18.73135118569668,18.973592764687446,17.758910806355484,18.01318725339642,19.552157402255776,58.31343138001428,2008.9171452101705,0.11037375710227272,MariamB,German,original
-1.0,0.26642367243766785,-0.08039604872465134,0.05487354099750519,-0.08324962854385376,0.016539501026272774,-0.04092954844236374,-0.0024894927628338337,-0.05390841141343117,-0.04041946306824684,-0.030370818451046944,-0.02638842724263668,-0.03141820430755615,-0.020208943635225296,-0.03604385256767273,-0.0333881713449955,-0.011735058389604092,1.8286836489522784e-09,0.0002609642979223281,-9.891347144730389e-05,-0.001013755681924522,-0.00014329355326481164,6.766507431166247e-05,0.00043088928214274347,1.302005421166541e-05,-7.842582272132859e-05,-0.00014762800128664821,2.972020638480899e-06,-0.0005893870256841183,-0.00021596127771772444,-0.00028743481379933655,-0.0002618849102873355,-0.00029337898013181984,-0.00046017987187951803,0.5302785634994507,0.37321609258651733,0.2542525827884674,0.2354797124862671,0.37552568316459656,0.26839137077331543,0.2306266725063324,0.2505074739456177,0.21362531185150146,0.2626400887966156,0.2857878506183624,0.4305495619773865,22.055300146435616,19.36601808817083,19.624478207309107,18.491125612023996,18.38531790377246,19.948941303659506,58.16633364738128,2039.8920533316007,0.11676897321428571,MariamB,German,time_stretch
-1.0,0.29610732197761536,-0.08906237035989761,0.06267030537128448,-0.09180788695812225,0.01785748265683651,-0.04321666806936264,-0.00428602984175086,-0.05425636097788811,-0.040890809148550034,-0.030719533562660217,-0.025720881298184395,-0.030001753941178322,-0.0189518965780735,-0.035021934658288956,-0.032836075872182846,-0.0122769670560956,1.648586045455147e-09,0.000339003890985623,-0.0003279396623838693,-0.00034693177440203726,-0.0009190829587168992,0.0005177262355573475,6.727908476023003e-05,-0.0001550315646454692,4.7299869038397446e-05,-7.337021816056222e-05,0.00048139883438125253,1.1978558177361265e-05,0.00039448231109417975,-0.0002876993967220187,-5.1409966545179486e-05,0.00010435590957058594,-0.0003534889838192612,0.4810304045677185,0.33746400475502014,0.27643537521362305,0.257794588804245,0.3627432584762573,0.2659710943698883,0.23426513373851776,0.23920466005802155,0.22713470458984375,0.2884451746940613,0.31079137325286865,0.4453452527523041,20.702928873040783,19.301201041781784,18.81653287077859,17.66676977509795,17.982776537204987,19.304261660573566,56.842954305326415,2004.0814071317313,0.11057720762310606,MariamB,German,time_shift
-1.0,0.27205511927604675,-0.09483063220977783,0.06558263301849365,-0.09752748906612396,0.02586825005710125,-0.04978388920426369,0.005643651355057955,-0.0585053414106369,-0.031340111047029495,-0.031542204320430756,-0.0203100498765707,-0.02740715630352497,-0.014122365042567253,-0.030122604221105576,-0.029510878026485443,-0.009050448425114155,1.57690838165081e-09,0.00017184104945044965,2.427121034997981e-05,-0.0008454796043224633,-0.00018759892554953694,-3.510233000270091e-05,0.00038218076224438846,1.0495215974515304e-05,-2.814345498336479e-05,-0.00014818664931226522,-1.338056790700648e-05,-0.000519578461535275,-2.8985592507524416e-05,-0.0002325729001313448,-0.00010434188152430579,-0.0001544516417197883,-0.0002731781860347837,0.4544907808303833,0.33143413066864014,0.25417786836624146,0.2967430353164673,0.32307887077331543,0.21082459390163422,0.25015267729759216,0.23978625237941742,0.20374757051467896,0.27178606390953064,0.2747443616390228,0.4513190686702728,23.01984533511412,18.992116647905302,20.18893541254578,18.692782387298625,18.731142220404692,20.59682912888357,58.724395500050186,2134.6485621535353,0.1280252207880435,MariamB,German,time_stretch
-1.0,0.2764357328414917,-0.11623762547969818,0.07803814858198166,-0.099862240254879,0.03585321083664894,-0.07041574269533157,-0.010068435221910477,-0.053981974720954895,-0.026117723435163498,-0.04477887600660324,-0.03148578479886055,-0.032791510224342346,-0.01576714776456356,-0.04291939735412598,-0.03769360110163689,-0.024882230907678604,1.05127240246361e-09,-0.0011695479042828083,-0.0004593413323163986,0.0004477958136703819,-0.00010704302258091047,-0.0003254890034440905,-0.0004237667890265584,0.0002502524002920836,-0.0002670790418051183,-0.00014030771853867918,8.439136581728235e-05,-3.4433064683980774e-06,-3.897130591212772e-05,2.3521617549704388e-05,2.0655961634474806e-05,-5.269575922284275e-06,-3.534018469508737e-05,0.4259766936302185,0.4587416648864746,0.32012975215911865,0.24241165816783905,0.2991185486316681,0.2636229693889618,0.20355522632598877,0.24637369811534882,0.2789057493209839,0.32182735204696655,0.2910366654396057,0.36864784359931946,20.69714063274041,19.61784525735872,19.493012080700353,18.494327581411618,19.952008569764228,19.674809803315384,60.579689169936884,2245.440591722839,0.12775041515700483,MariamB,German,original
-1.0,0.12792314394400991,-0.0060251100562092215,0.004880765531636668,-0.01446609976261791,-0.0057214055695404,-0.025183708260032314,-0.024106640654878716,-0.03189786465006131,-0.02788621968970971,-0.027724814776263824,-0.030613692760152203,-0.02095880985779612,-0.01494970510151276,-0.0306477486581977,-0.03242741336533649,-0.022052264422604478,7.442554186946336e-18,-0.00031519216843421796,-0.000207709354461198,0.0001727682603923856,1.3467165004239704e-06,-9.37529856787852e-05,-0.00010379286484945037,1.9740312339396674e-05,-5.922720870240566e-05,-7.167021336757324e-05,0.00016171997086260965,-3.4754258838222767e-05,-5.7552766336620755e-05,0.00011277097700098145,0.00013358514230534424,0.00010347366955662414,-8.456752842258641e-06,0.4860502475089089,0.5090519604135961,0.3651522580077218,0.3068724789631161,0.33789001832773374,0.30179865133159733,0.2589467012491939,0.286483475800808,0.34337884795864354,0.37182233260214875,0.36159779613793697,0.4315208336734002,12.292247155084167,18.452846903115944,18.515016694665974,16.648880957358543,17.003948864875127,15.32341988256225,14.190982654258864,3955.869900736374,0.2278787364130435,MariamB,German,noise
