mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,spectral_centroid,zero_crossing_rate,Person,Language,Augmentation
-1.0,0.24602070450782776,-0.09385570883750916,0.09968937188386917,-0.10616131126880646,0.03516973555088043,-0.08557447791099548,0.016516000032424927,-0.07742475718259811,-0.03413781896233559,-0.05303649976849556,-0.021430935710668564,-0.038398388773202896,-0.020515842363238335,-0.04364462569355965,-0.03821036219596863,-0.014745091088116169,1.303073982050762e-09,0.00041107123252004385,-0.0008206374477595091,0.00027776535716839135,-0.00012133243581047282,-0.0001687955082161352,3.83177466574125e-05,-0.00017910139285959303,0.00024474383099004626,-5.616757334792055e-05,0.00014940756955184042,9.646440594224259e-05,-1.3764411960437428e-05,0.00021710949658881873,0.00016009158571250737,0.0001655315572861582,-0.00013142399257048965,0.3368203341960907,0.46498313546180725,0.3133963942527771,0.20111607015132904,0.21872402727603912,0.27430179715156555,0.2332199513912201,0.25437286496162415,0.21308709681034088,0.1971992403268814,0.25029075145721436,0.2334928959608078,21.061281771997322,21.44643678053458,19.920259839297277,18.037953488052523,19.570102050588307,19.663235266421573,61.62699483684822,2488.6087887758763,0.13407852264221556,MariamB,German,original
-1.0,0.20938964188098907,-0.08063177764415741,0.08785902708768845,-0.09626907110214233,0.029660968109965324,-0.0814821794629097,0.017028678208589554,-0.07658480852842331,-0.03709426522254944,-0.05089076608419418,-0.022296303883194923,-0.035798605531454086,-0.02093774452805519,-0.041568268090486526,-0.0382237434387207,-0.01445582415908575,1.1826812862381075e-09,0.0004968966823071241,-0.0005826562410220504,0.0001256952091353014,-7.35929497750476e-05,-0.0002507325552869588,-1.956314008566551e-05,-0.00025145060499198735,7.005382212810218e-05,-9.427620534552261e-05,0.00012729813170153648,0.00016805047926027328,2.0818390112253837e-05,0.00021077206474728882,0.00014428823487833142,8.979198901215568e-05,-0.00016326103650499135,0.3264309763908386,0.4760209321975708,0.3512595593929291,0.1900670826435089,0.18440945446491241,0.25490179657936096,0.2273467481136322,0.24362705647945404,0.2095097452402115,0.17401693761348724,0.22314049303531647,0.23660987615585327,22.218464423667,21.833969787757717,20.879085215073427,18.830900634003363,19.913730177837127,20.377912243609845,61.75911325363139,2540.4881144374567,0.1493185292119565,MariamB,German,time_stretch
-1.0,0.2468096762895584,-0.0941859632730484,0.10001549124717712,-0.10650970786809921,0.03528200462460518,-0.08585632592439651,0.01657010242342949,-0.07767728716135025,-0.03424707427620888,-0.05320783704519272,-0.02149638719856739,-0.03852270916104317,-0.020576724782586098,-0.04379073530435562,-0.03833593800663948,-0.014792382717132568,1.303073982050762e-09,0.0004130236047785729,-0.0008236134308390319,0.00027907954063266516,-0.00012206299288664013,-0.00016957898333203048,3.804808511631563e-05,-0.0001796130381990224,0.0002452221524436027,-5.6412070989608765e-05,0.0001497694756835699,9.675516776042059e-05,-1.3798040527035482e-05,0.0002176451525883749,0.00016026660159695894,0.00016581473755650222,-0.00013190442405175418,0.3368203043937683,0.46498313546180725,0.3133964240550995,0.20111609995365143,0.21872402727603912,0.2743018567562103,0.2332199662923813,0.25437289476394653,0.21308711171150208,0.1971992403268814,0.25029078125953674,0.2334928959608078,21.061278765907065,21.446437107879955,19.920259271358084,18.037953098457912,19.570103389979387,19.66323487602822,61.635319047218935,2488.608787287101,0.13407852264221556,MariamB,German,volume
-1.0,0.2359248697757721,-0.09614063799381256,0.10622324049472809,-0.10557026416063309,0.0389062836766243,-0.0889495238661766,0.021465878933668137,-0.07219573855400085,-0.028601069003343582,-0.04605446755886078,-0.018258269876241684,-0.031129471957683563,-0.018316805362701416,-0.035248756408691406,-0.04438852146267891,-0.01269217487424612,1.303073982050762e-09,0.000453733402537182,-0.0006885085022076964,0.00016507502004969865,-5.198988219490275e-06,-0.00033526329207234085,0.00016247775056399405,-0.00026661332231014967,0.0001471546129323542,-2.689656503207516e-05,0.00014560834097210318,0.00014908553566783667,-5.5365075240843e-05,0.00022059070761315525,8.305619849124923e-05,0.00017825269605964422,-9.631505963625386e-05,0.3891153037548065,0.49309778213500977,0.30392175912857056,0.1985907405614853,0.23835013806819916,0.27948346734046936,0.21433715522289276,0.25313347578048706,0.21455977857112885,0.2018486112356186,0.2291102558374405,0.23408783972263336,21.43432569247742,20.70414839255019,20.552271539891624,18.35134682455321,19.76442122730443,19.645738196319442,65.95766146108329,2531.236213448788,0.14832931792664672,MariamB,German,pitch_shift
-1.0,0.2468576431274414,0.038405727595090866,0.08342696726322174,-0.1336239129304886,0.06817551702260971,-0.0448584109544754,-0.03079363703727722,0.011479283683001995,-0.02628990449011326,-0.012102371081709862,-0.02442426234483719,-0.03013833425939083,0.006847153417766094,-0.02833561785519123,-0.029751403257250786,-0.0014869347214698792,1.3350512917398305e-09,0.0013507521944120526,-0.00022070406703278422,-0.00026273325784131885,0.0007821464096195996,-0.0005015262286178768,-5.021847755415365e-05,-3.649518475867808e-05,-0.00015575869474560022,0.00021768845908809453,0.00022566151164937764,0.00012400643026921898,9.174514707410708e-05,-0.00011340845230733976,8.457290823571384e-05,0.0001721112639643252,0.0001353741536149755,0.24261461198329926,0.255337119102478,0.25989723205566406,0.3065444529056549,0.3949371874332428,0.4957030713558197,0.547498881816864,0.46805253624916077,0.3889983296394348,0.3413996994495392,0.3142768144607544,0.2496863305568695,22.09520051325128,17.177189952223678,17.547673549725555,17.734469664779485,20.474418089353367,20.07140377848389,54.762816110051624,2260.7824582776093,0.132545892446319,EsraaM,German,original
-1.0,0.23076561093330383,0.03289198875427246,0.08187946677207947,-0.1396130919456482,0.05874137580394745,-0.050296850502491,-0.02800973691046238,0.006825665943324566,-0.02333366870880127,-0.016626175493001938,-0.025996193289756775,-0.02715921960771084,0.007856790907680988,-0.0272151380777359,-0.02689250372350216,-0.003401619615033269,1.3860723679925968e-09,0.001323859440162778,-0.0003038619179278612,-0.00020035769557580352,0.0007363452459685504,-0.0004282573936507106,1.0451551133883186e-05,-6.723278056597337e-05,-0.00012104077904950827,0.0001707998162601143,0.00024227511312346905,7.505894609494135e-05,9.858641715254635e-05,-0.00011079267278546467,0.00017213734099641442,2.9109654860803857e-05,0.00015041357255540788,0.24185369908809662,0.25853386521339417,0.26209455728530884,0.3198055624961853,0.3935050368309021,0.49612027406692505,0.5286034345626831,0.4432844817638397,0.37061503529548645,0.3612931966781616,0.3249720335006714,0.2553781270980835,22.79248425143938,16.884127331816096,17.724100614403863,18.27688030540636,20.505354845965034,20.113500328667445,54.79761559260627,2310.0878639898033,0.1370484175955414,EsraaM,German,time_stretch
-1.0,0.21976274251937866,0.03476761281490326,0.07448399066925049,-0.11851318925619125,0.060659296810626984,-0.039807841181755066,-0.02731991373002529,0.010192327201366425,-0.023553237318992615,-0.010760387405753136,-0.021777236834168434,-0.026608560234308243,0.006005336996167898,-0.025107117369771004,-0.02646409347653389,-0.001259315642528236,1.3350512917398305e-09,0.001248599379323423,-0.00019844932830892503,-0.00024028799089137465,0.0007208505412563682,-0.00045860171667300165,-4.642917338060215e-05,-3.2283733162330464e-05,-0.0001426989765604958,0.00019953196169808507,0.00020839883654844016,0.0001138245570473373,8.321337372763082e-05,-0.00010430368274683133,7.906484825070947e-05,0.00015817723760847002,0.0001248474873136729,0.24261465668678284,0.25533708930015564,0.25989723205566406,0.3065444529056549,0.3949372470378876,0.4957031011581421,0.5474989414215088,0.46805253624916077,0.3889983296394348,0.3413996994495392,0.3142768144607544,0.2496863454580307,22.095197465415115,17.17719009312046,17.54767320874347,17.734469332674944,20.474419437138916,20.07140473163837,54.74235789514484,2260.7824613479993,0.132545892446319,EsraaM,German,volume
-1.0,0.24895037710666656,0.038680680096149445,0.08411477506160736,-0.13479496538639069,0.06875662505626678,-0.0452495813369751,-0.031062599271535873,0.01157908234745264,-0.026499859988689423,-0.012205805629491806,-0.024628322571516037,-0.030413242056965828,0.006912961136549711,-0.028585901483893394,-0.030005302280187607,-0.0015052750241011381,1.3350512917398305e-09,0.0013583020772784948,-0.00022239044483285397,-0.0002644100459292531,0.0007866895175538957,-0.0005047341692261398,-5.049930405220948e-05,-3.681722591863945e-05,-0.00015673293091822416,0.00021904241293668747,0.00022693855862598866,0.0001247642794623971,9.238872007699683e-05,-0.0001140855674748309,8.497254748363048e-05,0.0001731479715090245,0.0001361536415060982,0.24261465668678284,0.25533708930015564,0.25989723205566406,0.3065445125102997,0.3949371874332428,0.4957030713558197,0.5474990010261536,0.46805259585380554,0.3889983594417572,0.3413996696472168,0.314276784658432,0.2496863454580307,22.095192621254686,17.17718982586991,17.547673408363213,17.734468121935617,20.47441830875381,20.07140503084292,54.72199268239483,2260.7824566669747,0.132545892446319,EsraaM,German,volume
-1.0,0.22535113990306854,-0.0025679268874228,0.1662733405828476,-0.07824408262968063,0.058284759521484375,-0.06273902207612991,-0.0030638976022601128,0.0030246893875300884,-0.017630502581596375,0.003413182683289051,-0.007789060473442078,-0.0005650754901580513,-0.017888786271214485,-0.023896409198641777,-0.037975143641233444,-0.022420452907681465,1.4316668961456003e-09,4.186623482382856e-05,8.842417628329713e-06,2.779791975626722e-05,0.00012138917372794822,-8.358412014786154e-05,0.00032650306820869446,-0.0003275968483649194,-0.00029855931643396616,-7.1422487962991e-05,0.0001847930980147794,-0.00010281889262842014,1.3253676115709823e-05,-0.00013134750770404935,-0.00021240276691969484,5.6721881264820695e-05,8.654756675241515e-05,0.22536879777908325,0.2838223874568939,0.39581558108329773,0.4447424113750458,0.4418504238128662,0.3797438442707062,0.3062174320220947,0.3572153151035309,0.4000723659992218,0.24180470407009125,0.2000000923871994,0.2514105439186096,21.35208425407968,17.489099999686584,18.369895364940607,18.05822124200191,16.484095067982793,17.325988774053304,55.18150607571883,2315.2521838209504,0.12422260485197369,EsraaM,French,original
-1.0,0.2033267766237259,0.002853654557839036,0.14914247393608093,-0.07227583974599838,0.05303114280104637,-0.06304885447025299,-0.007613609544932842,0.002558656968176365,-0.013809550553560257,0.004689199384301901,-0.004471539985388517,-0.0013555331388488412,-0.01593676023185253,-0.022884689271450043,-0.03530615195631981,-0.020202280953526497,1.326910692434069e-09,-0.00012227025581523776,8.342714136233553e-05,-0.00017160907736979425,0.00014928437303751707,-0.00017563383153174073,0.00030154999694786966,-0.0003268221626058221,-0.0002881019900087267,-5.585950202657841e-05,0.00016053658328019083,-3.472519165370613e-05,3.2207339245360345e-05,-0.00014405231922864914,-0.00027156114811077714,0.0001229640911333263,6.58865028526634e-05,0.22120799124240875,0.28773248195648193,0.3896874189376831,0.4400920271873474,0.46896040439605713,0.4013397991657257,0.3003704845905304,0.346375435590744,0.3718295693397522,0.23671220242977142,0.20636026561260223,0.23995767533779144,22.774215590474224,17.334133478256284,18.79805063429484,18.871149244150462,17.156278643562104,18.215436640639453,55.04009246758409,2352.9957689279613,0.1292992568597561,EsraaM,French,time_stretch
